DataId,CommId,DeviceName,DeviceDateTime,AgeInSeconds,BatteryVoltage,GpsQuality,Latitude,Longitude,SubmergedPercent,Temperature0cm
9827625,"300234063602780","UOH-MS-0001",2015-10-21 01:00:08,3608,11.8,3,21.774464,-159.318848,14,27.65
9827503,"300234063602780","UOH-MS-0001",2015-10-21 00:00:10,10,11.8,3,21.78096,-159.327179,13,27.65
9827241,"300234063602780","UOH-MS-0001",2015-10-20 23:00:08,82808,11.8,3,21.784201,-159.338455,14,27.6
9827135,"300234063602780","UOH-MS-0001",2015-10-20 22:01:36,79296,11.8,3,21.786961,-159.350052,14,27.6
9826842,"300234063602780","UOH-MS-0001",2015-10-20 21:00:08,75608,11.8,3,21.789478,-159.36615,12,27.55
9826710,"300234063602780","UOH-MS-0001",2015-10-20 20:00:08,72008,11.8,3,21.793629,-159.379669,11,27.55
9826449,"300234063602780","UOH-MS-0001",2015-10-20 19:00:08,68408,11.8,3,21.801079,-159.390045,11,27.55
9826360,"300234063602780","UOH-MS-0001",2015-10-20 18:01:36,64896,11.8,3,21.808821,-159.400848,11,27.55
9826037,"300234063602780","UOH-MS-0001",2015-10-20 17:00:08,61208,11.8,3,21.815031,-159.413132,11,27.6
9825948,"300234063602780","UOH-MS-0001",2015-10-20 16:00:06,57606,11.8,3,21.821857,-159.423187,10,27.45
9825641,"300234063602780","UOH-MS-0001",2015-10-20 15:00:06,54006,11.8,3,21.827581,-159.426636,11,26.95
9825574,"300234063602780","UOH-MS-0001",2015-10-20 14:00:36,50436,11.8,3,21.83296,-159.419632,11,27.1
9825251,"300234063602780","UOH-MS-0001",2015-10-20 13:00:06,46806,11.8,3,21.838585,-159.409882,9,27.2
9825165,"300234063602780","UOH-MS-0001",2015-10-20 12:00:07,43207,11.8,3,21.84281,-159.399979,9,27.2
9824869,"300234063602780","UOH-MS-0001",2015-10-20 11:00:08,39608,11.8,3,21.848654,-159.390869,14,27.3
9824808,"300234063602780","UOH-MS-0001",2015-10-20 10:02:37,36157,11.8,3,21.851915,-159.387573,12,27.4
9824475,"300234063602780","UOH-MS-0001",2015-10-20 09:00:09,32409,11.8,3,21.857521,-159.382645,8,27.5
9824340,"300234063602780","UOH-MS-0001",2015-10-20 08:00:08,28808,11.8,3,21.860275,-159.382248,11,27.25
9824108,"300234063602780","UOH-MS-0001",2015-10-20 07:01:37,25297,11.8,3,21.868397,-159.376694,9,26.8
9823992,"300234063602780","UOH-MS-0001",2015-10-20 06:01:10,21670,11.8,3,21.878101,-159.369507,8,26.85
9823697,"300234063602780","UOH-MS-0001",2015-10-20 05:00:08,18008,11.8,3,21.886835,-159.365509,12,26.85
9823564,"300234063602780","UOH-MS-0001",2015-10-20 04:00:09,14409,11.8,3,21.89039,-159.363083,12,26.95
9823321,"300234063602780","UOH-MS-0001",2015-10-20 03:00:09,10809,11.8,3,21.892309,-159.361053,11,27
9823199,"300234063602780","UOH-MS-0001",2015-10-20 02:00:37,7237,11.8,3,21.891615,-159.358368,10,27
9822932,"300234063602780","UOH-MS-0001",2015-10-20 01:00:08,3608,11.8,3,21.887955,-159.357147,9,27
9822799,"300234063602780","UOH-MS-0001",2015-10-20 00:00:08,8,11.8,3,21.88254,-159.357376,9,26.95
9822534,"300234063602780","UOH-MS-0001",2015-10-19 23:00:07,82807,11.8,3,21.876745,-159.355637,10,26.9
9822420,"300234063602780","UOH-MS-0001",2015-10-19 22:00:55,79255,11.8,3,21.874735,-159.351166,9,26.85
9822132,"300234063602780","UOH-MS-0001",2015-10-19 21:00:08,75608,11.8,3,21.872454,-159.34668,9,26.75
9821998,"300234063602780","UOH-MS-0001",2015-10-19 20:00:08,72008,11.8,3,21.872396,-159.339417,11,26.7
9821711,"300234063602780","UOH-MS-0001",2015-10-19 19:00:08,68408,11.8,3,21.872168,-159.333481,10,26.7
9821604,"300234063602780","UOH-MS-0001",2015-10-19 18:02:36,64956,11.8,3,21.873249,-159.327896,10,26.35
9821270,"300234063602780","UOH-MS-0001",2015-10-19 17:00:09,61209,11.8,3,21.877504,-159.318863,12,26.35
9821174,"300234063602780","UOH-MS-0001",2015-10-19 16:00:08,57608,11.8,3,21.883383,-159.310547,10,26.35
9820839,"300234063602780","UOH-MS-0001",2015-10-19 15:00:08,54008,11.8,3,21.891039,-159.304199,11,26.4
9820753,"300234063602780","UOH-MS-0001",2015-10-19 14:00:36,50436,11.8,3,21.896196,-159.299332,10,26.4
9820455,"300234063602780","UOH-MS-0001",2015-10-19 13:00:07,46807,11.8,3,21.89921,-159.297363,9,26.45
9820344,"300234063602780","UOH-MS-0001",2015-10-19 12:00:06,43206,11.8,3,21.899193,-159.29834,11,26.45
9820054,"300234063602780","UOH-MS-0001",2015-10-19 11:00:09,39609,11.8,3,21.899197,-159.298386,9,26.45
9819988,"300234063602780","UOH-MS-0001",2015-10-19 10:02:36,36156,11.8,3,21.899464,-159.295837,10,26.45
9819659,"300234063602780","UOH-MS-0001",2015-10-19 09:00:09,32409,11.8,3,21.903801,-159.29129,11,26.45
9819539,"300234063602780","UOH-MS-0001",2015-10-19 08:00:08,28808,11.8,3,21.911715,-159.286133,8,26.3
9819286,"300234063602780","UOH-MS-0001",2015-10-19 07:00:36,25236,11.8,3,21.921719,-159.281006,11,26.35
9819146,"300234063602780","UOH-MS-0001",2015-10-19 06:00:12,21612,11.8,3,21.93438,-159.276886,11,26.35
9818901,"300234063602780","UOH-MS-0001",2015-10-19 05:00:08,18008,11.8,3,21.94696,-159.273514,12,26.35
